Date,Tenant,Industry_Type,Number_of_Floors,Number_of_Employees,Day_of_Week,Acquired_Area,Base_Electricity_Reading,Electricity_Reading,Month
2016-09-16,Cerner Health Care Solutions,Healthcare,6,255,4,297737.37737389834,236.54625180105157,212.8507388076717,9
2016-09-17,Stylus Commercial Services,IT Services,4,0,5,336825.669668257,0.0,0.0,9
2016-09-18,TCS,Telecommunications,1,0,6,363434.6900430807,0.0,0.0,9
2016-09-19,Nokia Siemens Network India,Technology,9,498,0,94389.6278951662,79.88641425755478,63.838369228481,9
2016-09-20,Novell,Software,1,322,1,154033.50645799877,124.70419934012075,115.22355308491272,9
2016-09-21,Data Craft India,Consulting,6,225,2,16705.69527864351,82.37335667408989,68.44053574340333,9
2016-09-22,Justdial,Electronics,8,455,3,28154.41451350742,207.71395989600018,181.5282648226552,9
2016-09-23,Target Operation,Consulting,9,342,4,82255.70289564463,194.90820205826267,173.9433901822691,9
2016-09-24,Justdial,Electronics,2,0,5,28154.41451350742,0.0,0.026113038679057777,9
2016-09-25,Andritz,Engineering,5,0,6,105823.38138647184,0.0,0.0,9
2016-09-26,Data Craft India,Consulting,4,97,0,16705.69527864351,22.06270732929179,15.112658556340556,9
2016-09-27,TCS,Telecommunications,5,58,1,363434.6900430807,71.13138889913328,65.40302899439531,9
2016-09-28,Colt Technologies,Technology,5,433,2,470980.6193328473,164.60535552679374,151.08178644352904,9
2016-09-29,TP Vision,Software,3,450,3,311951.2495387996,200.27633203243585,184.97256735534629,9
2016-09-30,Nokia Siemens Network India,Technology,4,95,4,94389.6278951662,74.94010971313489,70.26910809316593,9
2016-10-01,Software Software Software,Travel,5,0,5,132242.80313614343,0.0,0.0,10
2016-10-02,ANZ,Finance,6,0,6,235720.71443058396,0.0,0.5786922195520915,10
2016-10-03,L and T,Manufacturing,7,386,0,380607.76996919076,123.1108182809017,112.99852769409601,10
2016-10-04,Stylus Commercial Services,IT Services,8,261,1,336825.669668257,177.32535717371806,163.3967452086021,10
2016-10-05,Monsanto Holdings,Telecommunications,2,308,2,386333.2702978652,107.49488284054588,105.02404042400495,10
2016-10-06,ANZ,Finance,9,457,3,235720.71443058396,195.58963823035916,184.79006353896287,10
2016-10-07,Data Craft India,Consulting,8,341,4,16705.69527864351,176.07050157964008,161.43710718044335,10
2016-10-08,L and T,Manufacturing,3,0,5,380607.76996919076,0.0,0.09709743412332501,10
2016-10-09,L and T,Manufacturing,4,0,6,380607.76996919076,0.0,2.5379942745253854,10
2016-10-10,Cerner Health Care Solutions,Healthcare,4,452,0,297737.37737389834,100.33876881137978,87.73720493268407,10
2016-10-11,Alcatel Lucent Technologies,Telecommunications,4,50,1,290068.3522488535,57.54097250078011,45.61994776686363,10
2016-10-12,Monsanto Holdings,Telecommunications,2,467,2,386333.2702978652,138.50489919799176,122.17142255752145,10
2016-10-13,Alcatel Lucent Technologies,Telecommunications,7,150,3,290068.3522488535,91.67149364891235,82.24101967844975,10
2016-10-14,Colt Technologies,Technology,8,270,4,470980.6193328473,218.29336617999408,204.12481400613675,10
2016-10-15,Fidelity,Finance,4,0,5,266099.3903756254,0.0,0.0,10
2016-10-16,Data Craft India,Consulting,9,0,6,16705.69527864351,0.0,0.0,10
2016-10-17,Nvidia Graphics,Semiconductors,1,204,0,31350.27225087647,27.094695456262418,26.46055113140601,10
2016-10-18,Stylus Commercial Services,IT Services,3,391,1,336825.669668257,178.73401415813154,172.87552489369898,10
2016-10-19,Software Software Software,Travel,8,158,2,132242.80313614343,83.12022108156584,82.58286270675544,10
2016-10-20,Justdial,Electronics,10,114,3,28154.41451350742,117.37347052622735,107.10373618580313,10
2016-10-21,Alcatel Lucent Technologies,Telecommunications,8,383,4,290068.3522488535,211.78918994411853,193.94720237215495,10
2016-10-22,Andritz,Engineering,5,0,5,105823.38138647184,0.0,0.6980680095262398,10
2016-10-23,Monsanto Holdings,Telecommunications,7,0,6,386333.2702978652,0.0,0.302936633769433,10
2016-10-24,IBM,Engineering,4,168,0,29641.598150655183,44.539446743176136,44.13963039402455,10
2016-10-25,Netscout System Software,Software,10,436,1,484544.04893449426,273.00671187985506,239.52281626779134,10
2016-10-26,Fidelity,Finance,1,430,2,266099.3903756254,143.79563395751492,131.0337277045312,10
2016-10-27,Software Software Software,Travel,6,340,3,132242.80313614343,108.98986392958352,107.36967870156136,10
2016-10-28,Cerner Health Care Solutions,Healthcare,7,101,4,297737.37737389834,181.45292895105263,159.10809120730354,10
2016-10-29,Data Craft India,Consulting,3,0,5,16705.69527864351,0.0,0.3261031480748552,10
2016-10-30,TP Vision,Software,8,0,6,311951.2495387996,0.0,2.932552677278815,10
2016-10-31,Alcatel Lucent Technologies,Telecommunications,2,79,0,290068.3522488535,26.722654981502117,19.825468928051873,10
2016-11-01,Philips,Technology,5,129,1,67038.4916708522,59.64434235048424,108.78395397258889,11
2016-11-02,Northern Operation Services,Outsourcing,7,379,2,90706.62617261536,112.5753999308895,195.8192285466849,11
2016-11-03,Target Operation,Consulting,1,131,3,82255.70289564463,42.35805972931263,71.84591076751015,11
2016-11-04,Andritz,Engineering,1,63,4,105823.38138647184,66.19994761896298,122.46652597150538,11
2016-11-05,Novell,Software,6,0,5,154033.50645799877,0.0,6.644096004013994,11
2016-11-06,TP Vision,Software,1,0,6,311951.2495387996,0.0,0.0,11
2016-11-07,IBM,Engineering,8,79,0,29641.598150655183,46.271758920274706,85.0683749022815,11
2016-11-08,Stylus Commercial Services,IT Services,5,480,1,336825.669668257,217.89467832482663,393.01042735598037,11
2016-11-09,Philips,Technology,4,95,2,67038.4916708522,47.40510532670313,87.53814255640127,11
2016-11-10,Stylus Commercial Services,IT Services,4,377,3,336825.669668257,181.83305952384126,326.6066453691742,11
2016-11-11,Nokia Siemens Network India,Technology,8,137,4,94389.6278951662,118.87786133472095,210.99291909762565,11
2016-11-12,Jurimatrix,Consulting,1,0,5,226349.06235300525,0.0,8.991361180819906,11
2016-11-13,Cognizant,IT Services,5,0,6,98532.73588121487,0.0,1.2575455359959566,11
2016-11-14,Cerner Health Care Solutions,Healthcare,10,377,0,297737.37737389834,111.07602642086444,199.96354984491273,11
2016-11-15,TP Vision,Software,4,322,1,311951.2495387996,169.9838201582754,306.4327950825089,11
2016-11-16,Mavenir,Biotechnology,9,466,2,287955.1965214351,208.14452342248475,362.327138640793,11
2016-11-17,Novell,Software,5,159,3,154033.50645799877,106.17576974718763,194.57283323844564,11
2016-11-18,Fidelity,Finance,5,387,4,266099.3903756254,235.27294912457882,416.53088216469644,11
2016-11-19,Novell,Software,6,0,5,154033.50645799877,0.0,0.0,11
2016-11-20,IBM,Engineering,7,0,6,29641.598150655183,0.0,0.22795322917138755,11
2016-11-21,Northern Operation Services,Outsourcing,2,264,0,90706.62617261536,33.74832678313381,57.21979894888145,11
2016-11-22,Jurimatrix,Consulting,5,463,1,226349.06235300525,150.66563377072296,272.4442454741839,11
2016-11-23,Nokia Siemens Network India,Technology,2,272,2,94389.6278951662,76.58750569246166,138.0928343654288,11
2016-11-24,Target Operation,Consulting,7,441,3,82255.70289564463,141.20105594916035,257.2936751443247,11
2016-11-25,Target Operation,Consulting,6,360,4,82255.70289564463,176.63939971534913,327.4459621200208,11
2016-11-26,Andritz,Engineering,3,0,5,105823.38138647184,0.0,0.0,11
2016-11-27,Target Operation,Consulting,4,0,6,82255.70289564463,0.0,3.5616512051032334,11
2016-11-28,TP Vision,Software,5,135,0,311951.2495387996,61.169643459652264,115.28975614679365,11
2016-11-29,Nvidia Graphics,Semiconductors,3,101,1,31350.27225087647,42.45122346386589,86.25345822891953,11
2016-11-30,Nokia Siemens Network India,Technology,6,353,2,94389.6278951662,114.1349955450783,203.18562724181206,11
2016-12-01,IBM,Engineering,9,360,3,29641.598150655183,188.9230680573061,335.1793177303251,12
2016-12-02,IBM,Engineering,7,472,4,29641.598150655183,310.921698663786,556.1018732888332,12
2016-12-03,Via.com,Software,4,0,5,30517.733222274303,0.0,1.243576415618513,12
2016-12-04,Novell,Software,2,0,6,154033.50645799877,0.0,6.450449258759578,12
2016-12-05,ANZ,Finance,6,208,0,235720.71443058396,58.18100264397566,97.7826667058949,12
2016-12-06,Nvidia Graphics,Semiconductors,3,333,1,31350.27225087647,93.83339040893902,170.60497164287506,12
2016-12-07,Cognizant,IT Services,5,481,2,98532.73588121487,184.60910917015948,330.97626367944656,12
2016-12-08,IBM,Engineering,5,218,3,29641.598150655183,112.70133226496911,201.88242353204993,12
2016-12-09,Jurimatrix,Consulting,9,138,4,226349.06235300525,152.61646299636953,278.7313572563956,12
2016-12-10,Via.com,Software,8,0,5,30517.733222274303,0.0,0.0,12
2016-12-11,IBM,Engineering,5,0,6,29641.598150655183,0.0,5.045331787073789,12
2016-12-12,Netscout System Software,Software,9,368,0,484544.04893449426,122.82761028800071,214.05834755673868,12
2016-12-13,Nvidia Graphics,Semiconductors,10,288,1,31350.27225087647,122.62512188678171,214.64237291978105,12
2016-12-14,Colt Technologies,Technology,9,412,2,470980.6193328473,180.99348645694133,324.8970206597096,12
2016-12-15,Target Operation,Consulting,6,472,3,82255.70289564463,142.49031242159313,256.07633827983295,12
2016-12-16,Monsanto Holdings,Telecommunications,5,77,4,386333.2702978652,114.95617142131509,212.67337524878522,12
2016-12-17,Colt Technologies,Technology,6,0,5,470980.6193328473,0.0,0.08432960058596964,12
2016-12-18,Philips,Technology,7,0,6,67038.4916708522,0.0,2.9678225763719612,12
2016-12-19,Fidelity,Finance,7,69,0,266099.3903756254,46.09993032621417,77.04465040219007,12
2016-12-20,Data Craft India,Consulting,5,51,1,16705.69527864351,39.6130170050688,65.74314933450962,12
2016-12-21,Netscout System Software,Software,4,238,2,484544.04893449426,170.65919603317693,310.56716591321197,12
2016-12-22,Alcatel Lucent Technologies,Telecommunications,1,286,3,290068.3522488535,88.94105195706177,164.80263904478497,12
2016-12-23,TP Vision,Software,3,159,4,311951.2495387996,171.07347449699608,317.78407329798887,12
2016-12-24,Data Craft India,Consulting,9,0,5,16705.69527864351,0.0,0.0,12
2016-12-25,L and T,Manufacturing,6,0,6,380607.76996919076,0.0,3.0451492832892035,12
2016-12-26,Philips,Technology,1,50,0,67038.4916708522,11.255870944252129,16.596730969082603,12
2016-12-27,ANZ,Finance,10,266,1,235720.71443058396,154.9977028339403,282.08145150818524,12
2016-12-28,Novell,Software,5,377,2,154033.50645799877,170.29001817987682,311.52168491792565,12
2016-12-29,Nvidia Graphics,Semiconductors,4,148,3,31350.27225087647,58.3974132054403,108.78566513424735,12
2016-12-30,TCS,Telecommunications,7,456,4,363434.6900430807,236.4239946425664,426.4654884228208,12
2016-12-31,TCS,Telecommunications,1,0,5,363434.6900430807,0.0,0.798974008458418,12
2017-01-01,ANZ,Finance,1,0,6,235720.71443058396,0.0,3.701988585123312,1
2017-01-02,Philips,Technology,8,242,0,67038.4916708522,49.32197253516457,87.79499426095995,1
2017-01-03,Nokia Siemens Network India,Technology,9,339,1,94389.6278951662,126.78912195949604,227.0211119458748,1
2017-01-04,Target Operation,Consulting,5,367,2,82255.70289564463,114.55642218554922,202.18837140071693,1
2017-01-05,L and T,Manufacturing,9,481,3,380607.76996919076,293.74187173560864,524.0332295360691,1
2017-01-06,Colt Technologies,Technology,6,137,4,470980.6193328473,161.6693623296402,291.78355029713356,1
2017-01-07,Novell,Software,6,0,5,154033.50645799877,0.0,0.0,1
2017-01-08,Nvidia Graphics,Semiconductors,6,0,6,31350.27225087647,0.0,4.558441605245152,1
2017-01-09,Justdial,Electronics,8,362,0,28154.41451350742,89.42112855386112,158.02793734716835,1
2017-01-10,Stylus Commercial Services,IT Services,6,142,1,336825.669668257,129.71275110054205,227.3088262788059,1
2017-01-11,Andritz,Engineering,6,497,2,105823.38138647184,220.448280851189,397.2622596821451,1
2017-01-12,Fidelity,Finance,9,292,3,266099.3903756254,158.95647729834607,291.7589142184006,1
2017-01-13,Cerner Health Care Solutions,Healthcare,9,462,4,297737.37737389834,356.9828180312818,639.6575415028209,1
2017-01-14,ANZ,Finance,9,0,5,235720.71443058396,0.0,0.0,1
2017-01-15,Stylus Commercial Services,IT Services,9,0,6,336825.669668257,0.0,7.086855488159963,1
2017-01-16,Cognizant,IT Services,2,387,0,98532.73588121487,68.49825154849172,125.66673430686232,1
2017-01-17,TCS,Telecommunications,2,244,1,363434.6900430807,92.77989088452003,164.33534462648095,1
2017-01-18,Monsanto Holdings,Telecommunications,5,409,2,386333.2702978652,141.82043553809604,256.8576868990524,1
2017-01-19,Philips,Technology,7,304,3,67038.4916708522,106.31939879710711,189.2198442997408,1
2017-01-20,Mavenir,Biotechnology,7,470,4,287955.1965214351,293.3607371558011,528.7096319948749,1
2017-01-21,Northern Operation Services,Outsourcing,1,0,5,90706.62617261536,0.0,0.0,1
2017-01-22,TCS,Telecommunications,3,0,6,363434.6900430807,0.0,1.8734294649499763,1
2017-01-23,Netscout System Software,Software,6,438,0,484544.04893449426,122.092355145424,223.77181960940825,1
2017-01-24,Target Operation,Consulting,3,284,1,82255.70289564463,85.97790371328891,158.78289417855765,1
2017-01-25,TCS,Telecommunications,1,370,2,363434.6900430807,112.47807737572778,204.7524629887801,1
2017-01-26,Monsanto Holdings,Telecommunications,8,390,3,386333.2702978652,152.74220230549835,273.2322464631738,1
2017-01-27,Cognizant,IT Services,10,314,4,98532.73588121487,257.71016453670893,468.7215538986578,1
2017-01-28,Alcatel Lucent Technologies,Telecommunications,4,0,5,290068.3522488535,0.0,0.0,1
2017-01-29,TP Vision,Software,3,0,6,311951.2495387996,0.0,7.817989089300813,1
2017-01-30,Nokia Siemens Network India,Technology,4,316,0,94389.6278951662,48.04365352619205,90.76214491177075,1
2017-01-31,Colt Technologies,Technology,2,197,1,470980.6193328473,100.090055282795,180.1891075516344,1
2017-02-01,L and T,Manufacturing,2,320,2,380607.76996919076,183.62601643630825,357.18537129378075,2
2017-02-02,IBM,Engineering,6,258,3,29641.598150655183,133.1741125397704,266.25008117799723,2
2017-02-03,Nokia Siemens Network India,Technology,3,371,4,94389.6278951662,152.60472701607927,312.9332239326425,2
2017-02-04,ANZ,Finance,4,0,5,235720.71443058396,0.0,0.0,2
2017-02-05,Cognizant,IT Services,7,0,6,98532.73588121487,0.0,9.977495347682094,2
2017-02-06,Via.com,Software,9,193,0,30517.733222274303,63.71116194855914,133.49779947294908,2
2017-02-07,Nokia Siemens Network India,Technology,2,473,1,94389.6278951662,118.28388945144478,236.1895229995813,2
2017-02-08,Netscout System Software,Software,4,132,2,484544.04893449426,139.4843779879244,272.1046129383243,2
2017-02-09,Justdial,Electronics,1,314,3,28154.41451350742,109.61226009927093,218.9515451640538,2
2017-02-10,Nokia Siemens Network India,Technology,7,479,4,94389.6278951662,216.96425051812082,434.1990397324322,2
2017-02-11,ANZ,Finance,9,0,5,235720.71443058396,0.0,0.25455865868288585,2
2017-02-12,Fidelity,Finance,10,0,6,266099.3903756254,0.0,0.0,2
2017-02-13,Nokia Siemens Network India,Technology,10,256,0,94389.6278951662,57.37866481551663,117.95343087065783,2
2017-02-14,Netscout System Software,Software,9,57,1,484544.04893449426,154.1894808394586,309.60408807622815,2
2017-02-15,Data Craft India,Consulting,6,324,2,16705.69527864351,103.646088469231,204.60258280465644,2
2017-02-16,TCS,Telecommunications,5,295,3,363434.6900430807,117.35386611117524,240.5776612003497,2
2017-02-17,Philips,Technology,1,288,4,67038.4916708522,107.2202574339174,212.22837515988076,2
2017-02-18,Colt Technologies,Technology,4,0,5,470980.6193328473,0.0,3.7145476287231647,2
2017-02-19,Netscout System Software,Software,4,0,6,484544.04893449426,0.0,0.0,2
2017-02-20,Colt Technologies,Technology,3,166,0,470980.6193328473,49.422693555442535,95.9116202742334,2
2017-02-21,Data Craft India,Consulting,8,152,1,16705.69527864351,77.43120686309749,148.35366301768823,2
2017-02-22,Nokia Siemens Network India,Technology,6,164,2,94389.6278951662,74.92794812991507,155.4973478598545,2
2017-02-23,Alcatel Lucent Technologies,Telecommunications,9,230,3,290068.3522488535,117.02559507323916,233.04319638977023,2
2017-02-24,Justdial,Electronics,10,75,4,28154.41451350742,157.01285071247932,314.04252127634146,2
2017-02-25,Philips,Technology,9,0,5,67038.4916708522,0.0,1.3498005144588072,2
2017-02-26,Nvidia Graphics,Semiconductors,1,0,6,31350.27225087647,0.0,0.0,2
2017-02-27,TCS,Telecommunications,10,149,0,363434.6900430807,56.629101786699685,116.22830046231626,2
2017-02-28,Northern Operation Services,Outsourcing,8,245,1,90706.62617261536,92.10213595695706,186.68913260983942,2
2017-03-01,Philips,Technology,3,284,2,67038.4916708522,81.42603535890827,166.01435642604608,3
2017-03-02,Andritz,Engineering,8,89,3,105823.38138647184,107.69050641459124,212.4266104494796,3
2017-03-03,Netscout System Software,Software,6,176,4,484544.04893449426,249.28806702352182,497.49741903196053,3
2017-03-04,Nokia Siemens Network India,Technology,1,0,5,94389.6278951662,0.0,2.1097257957482047,3
2017-03-05,Cognizant,IT Services,10,0,6,98532.73588121487,0.0,2.481364264947997,3
2017-03-06,IBM,Engineering,5,427,0,29641.598150655183,89.26459749735736,171.00411155442433,3
2017-03-07,Via.com,Software,6,399,1,30517.733222274303,165.94969336813793,330.72349488858003,3
2017-03-08,Netscout System Software,Software,5,489,2,484544.04893449426,251.83136377364582,498.6570122390157,3
2017-03-09,Jurimatrix,Consulting,8,97,3,226349.06235300525,88.13669485773231,170.4150483369065,3
2017-03-10,Software Software Software,Travel,1,194,4,132242.80313614343,83.34767130379319,175.86305389835815,3
2017-03-11,Stylus Commercial Services,IT Services,5,0,5,336825.669668257,0.0,0.0,3
2017-03-12,L and T,Manufacturing,5,0,6,380607.76996919076,0.0,0.0,3
2017-03-13,Justdial,Electronics,10,200,0,28154.41451350742,72.03601719747874,152.21858696770292,3
2017-03-14,Alcatel Lucent Technologies,Telecommunications,8,199,1,290068.3522488535,106.10382830583684,212.31575692551,3
2017-03-15,TP Vision,Software,8,422,2,311951.2495387996,228.80423156441225,464.3927153153934,3
2017-03-16,Novell,Software,1,67,3,154033.50645799877,49.70817479729626,94.12111494839807,3
2017-03-17,Alcatel Lucent Technologies,Telecommunications,4,335,4,290068.3522488535,168.73516701543056,332.8424297936156,3
2017-03-18,Novell,Software,2,0,5,154033.50645799877,0.0,1.4266133120812219,3
2017-03-19,Cerner Health Care Solutions,Healthcare,4,0,6,297737.37737389834,0.0,0.0,3
2017-03-20,TP Vision,Software,8,353,0,311951.2495387996,104.25559481464751,214.0476616783269,3
2017-03-21,Via.com,Software,7,484,1,30517.733222274303,198.30091964151322,397.46922908148997,3
2017-03-22,Target Operation,Consulting,3,351,2,82255.70289564463,100.37460098878846,200.72218220494116,3
2017-03-23,Alcatel Lucent Technologies,Telecommunications,7,136,3,290068.3522488535,88.94105195706177,183.24751394157425,3
2017-03-24,Netscout System Software,Software,2,71,4,484544.04893449426,159.35920982219852,314.6369746036041,3
2017-03-25,ANZ,Finance,3,0,5,235720.71443058396,0.0,0.0,3
2017-03-26,Netscout System Software,Software,3,0,6,484544.04893449426,0.0,0.0,3
2017-03-27,Nvidia Graphics,Semiconductors,5,366,0,31350.27225087647,56.107901791626986,108.10280333185639,3
2017-03-28,Cognizant,IT Services,10,58,1,98532.73588121487,100.65315289911538,203.14550791166818,3
2017-03-29,Target Operation,Consulting,8,347,2,82255.70289564463,126.37460651618319,256.08440606266487,3
2017-03-30,Via.com,Software,4,390,3,30517.733222274303,148.59767200332755,298.7328894703778,3
2017-03-31,Northern Operation Services,Outsourcing,1,155,4,90706.62617261536,63.135218358885844,130.61212264542206,3
2017-04-01,Philips,Technology,4,0,5,67038.4916708522,0.0,12.209655120705394,4
2017-04-02,Target Operation,Consulting,3,0,6,82255.70289564463,0.0,0.5113515152287331,4
2017-04-03,Northern Operation Services,Outsourcing,6,485,0,90706.62617261536,63.894738414474695,121.48424283444817,4
2017-04-04,Fidelity,Finance,8,77,1,266099.3903756254,100.26934178545135,204.43556582978778,4
2017-04-05,Justdial,Electronics,3,471,2,28154.41451350742,173.87508243447013,347.6151372365029,4
2017-04-06,Data Craft India,Consulting,6,442,3,16705.69527864351,129.00146576040936,254.19622571298612,4
2017-04-07,TCS,Telecommunications,9,243,4,363434.6900430807,189.00638830894385,372.5268513409789,4
2017-04-08,Northern Operation Services,Outsourcing,10,0,5,90706.62617261536,0.0,0.0,4
2017-04-09,Mavenir,Biotechnology,10,0,6,287955.1965214351,0.0,0.0,4
2017-04-10,Andritz,Engineering,5,162,0,105823.38138647184,53.53028735691406,110.88988383974464,4
2017-04-11,ANZ,Finance,4,313,1,235720.71443058396,129.81114050965635,256.70759988489806,4
2017-04-12,Nokia Siemens Network India,Technology,6,170,2,94389.6278951662,76.17261630182502,157.7060596488059,4
2017-04-13,Colt Technologies,Technology,5,353,3,470980.6193328473,148.00977990132785,287.9774284247987,4
2017-04-14,Fidelity,Finance,3,259,4,266099.3903756254,170.34991256383495,339.03036661967474,4
2017-04-15,L and T,Manufacturing,1,0,5,380607.76996919076,0.0,5.878260427111506,4
2017-04-16,Andritz,Engineering,8,0,6,105823.38138647184,0.0,13.667547021985824,4
2017-04-17,ANZ,Finance,2,370,0,235720.71443058396,65.76142431439123,131.29318725222328,4
2017-04-18,Fidelity,Finance,7,277,1,266099.3903756254,143.06204476360375,287.5035246907347,4
2017-04-19,Fidelity,Finance,9,288,2,266099.3903756254,157.97835837313116,323.5083056011591,4
2017-04-20,Mavenir,Biotechnology,9,128,3,287955.1965214351,123.88735405249585,241.34818426725175,4
2017-04-21,TCS,Telecommunications,2,233,4,363434.6900430807,135.18885964808385,273.80087234063205,4
2017-04-22,Nokia Siemens Network India,Technology,6,0,5,94389.6278951662,0.0,0.0,4
2017-04-23,Nvidia Graphics,Semiconductors,1,0,6,31350.27225087647,0.0,0.08296803454969465,4
2017-04-24,Target Operation,Consulting,8,465,0,82255.70289564463,75.86499190368076,157.69844343984332,4
2017-04-25,Philips,Technology,9,125,1,67038.4916708522,79.55903310104334,157.56140437610463,4
2017-04-26,Nvidia Graphics,Semiconductors,9,494,2,31350.27225087647,162.71207109823962,319.2788858047731,4
2017-04-27,TCS,Telecommunications,8,69,3,363434.6900430807,87.90410214907256,175.46258268194072,4
2017-04-28,Software Software Software,Travel,8,292,4,132242.80313614343,163.15197270241381,327.4479073451274,4
2017-04-29,Netscout System Software,Software,3,0,5,484544.04893449426,0.0,0.0,4
2017-04-30,Justdial,Electronics,7,0,6,28154.41451350742,0.0,6.582033417622987,4
2017-05-01,Monsanto Holdings,Telecommunications,7,235,0,386333.2702978652,58.818261705138305,118.82226857398862,5
2017-05-02,Andritz,Engineering,5,483,1,105823.38138647184,208.1646126863082,418.98335027397195,5
2017-05-03,Monsanto Holdings,Telecommunications,4,496,2,386333.2702978652,153.91239160200573,309.0844793409659,5
2017-05-04,Fidelity,Finance,1,223,3,266099.3903756254,93.17797957764326,194.5952184789076,5
2017-05-05,L and T,Manufacturing,2,51,4,380607.76996919076,142.39803850482133,285.8055184032291,5
2017-05-06,Andritz,Engineering,1,0,5,105823.38138647184,0.0,0.0,5
2017-05-07,Justdial,Electronics,8,0,6,28154.41451350742,0.0,5.0709507941004395,5
2017-05-08,TP Vision,Software,2,83,0,311951.2495387996,42.49416283820382,77.18786083888324,5
2017-05-09,TP Vision,Software,8,376,1,311951.2495387996,215.27553694100075,425.6661053698135,5
2017-05-10,Alcatel Lucent Technologies,Telecommunications,4,365,2,290068.3522488535,118.97591056741814,235.06853223717027,5
2017-05-11,Nokia Siemens Network India,Technology,4,455,3,94389.6278951662,124.92211970163113,255.09343406450046,5
2017-05-12,Via.com,Software,4,103,4,30517.733222274303,95.74522169949086,193.76356628146573,5
2017-05-13,Alcatel Lucent Technologies,Telecommunications,10,0,5,290068.3522488535,0.0,0.0,5
2017-05-14,Andritz,Engineering,8,0,6,105823.38138647184,0.0,0.0,5
2017-05-15,TP Vision,Software,2,64,0,311951.2495387996,39.700193296412316,75.82126073634107,5
2017-05-16,L and T,Manufacturing,3,233,1,380607.76996919076,163.30701932750875,324.92998024024735,5
2017-05-17,Jurimatrix,Consulting,7,267,2,226349.06235300525,119.29372627485823,232.41812834023705,5
2017-05-18,Mavenir,Biotechnology,9,114,3,287955.1965214351,120.39741212592824,246.42817132719753,5
2017-05-19,TP Vision,Software,3,109,4,311951.2495387996,149.13960688691722,299.244529104658,5
2017-05-20,L and T,Manufacturing,8,0,5,380607.76996919076,0.0,0.5342985026280973,5
2017-05-21,Target Operation,Consulting,1,0,6,82255.70289564463,0.0,3.4039811697693656,5
2017-05-22,Cerner Health Care Solutions,Healthcare,4,427,0,297737.37737389834,96.75968294155156,195.6922094585712,5
2017-05-23,Stylus Commercial Services,IT Services,10,410,1,336825.669668257,233.38990515337503,462.71145276808454,5
2017-05-24,Jurimatrix,Consulting,8,413,2,226349.06235300525,156.03753573919295,309.34096520582597,5
2017-05-25,Alcatel Lucent Technologies,Telecommunications,3,344,3,290068.3522488535,110.0044592941948,217.17539913237223,5
2017-05-26,Stylus Commercial Services,IT Services,4,446,4,336825.669668257,300.21448890226833,600.5632674842155,5
2017-05-27,Via.com,Software,2,0,5,30517.733222274303,0.0,0.0,5
2017-05-28,Northern Operation Services,Outsourcing,3,0,6,90706.62617261536,0.0,0.0,5
2017-05-29,Andritz,Engineering,5,374,0,105823.38138647184,86.9166674973592,174.7846128961523,5
2017-05-30,Mavenir,Biotechnology,1,117,1,287955.1965214351,71.28894358779861,140.6781065485895,5
2017-05-31,Monsanto Holdings,Telecommunications,9,381,2,386333.2702978652,155.86270709618472,304.8461409117783,5
2017-06-01,Mavenir,Biotechnology,2,62,3,287955.1965214351,63.81049660229663,125.91211003898326,6
2017-06-02,ANZ,Finance,9,386,4,235720.71443058396,265.8417281975573,541.1608354522881,6
2017-06-03,Target Operation,Consulting,4,0,5,82255.70289564463,0.0,0.0,6
2017-06-04,Colt Technologies,Technology,8,0,6,470980.6193328473,0.0,0.4432118255540394,6
2017-06-05,Monsanto Holdings,Telecommunications,8,81,0,386333.2702978652,46.23872676768386,82.96244802769823,6
2017-06-06,IBM,Engineering,10,270,1,29641.598150655183,168.45028778250486,328.0449562966018,6
2017-06-07,Mavenir,Biotechnology,5,202,2,287955.1965214351,117.40603333172746,238.09726963773693,6
2017-06-08,Andritz,Engineering,3,340,3,105823.38138647184,147.37620356266754,301.7391346463775,6
2017-06-09,Fidelity,Finance,4,370,4,266099.3903756254,219.95403038552686,442.7526069868131,6
2017-06-10,TP Vision,Software,1,0,5,311951.2495387996,0.0,0.0,6
2017-06-11,Software Software Software,Travel,3,0,6,132242.80313614343,0.0,2.222935092434886,6
2017-06-12,Cognizant,IT Services,9,329,0,98532.73588121487,84.97953826612958,165.89352324508903,6
2017-06-13,Stylus Commercial Services,IT Services,4,486,1,336825.669668257,212.54178178405533,429.95399298148664,6
2017-06-14,TCS,Telecommunications,1,300,2,363434.6900430807,98.82586891647489,197.97884097541493,6
2017-06-15,Nvidia Graphics,Semiconductors,4,77,3,31350.27225087647,42.67269832138775,78.47245108217469,6
2017-06-16,IBM,Engineering,3,280,4,29641.598150655183,173.74085433753808,340.73249249984156,6
2017-06-17,Software Software Software,Travel,4,0,5,132242.80313614343,0.0,0.0,6
2017-06-18,Philips,Technology,2,0,6,67038.4916708522,0.0,0.0,6
2017-06-19,Fidelity,Finance,4,439,0,266099.3903756254,82.16806569351404,167.29508398008903,6
2017-06-20,Fidelity,Finance,10,477,1,266099.3903756254,210.30772087212893,422.26011955424684,6
2017-06-21,Via.com,Software,2,385,2,30517.733222274303,132.42205886663993,270.7633852764764,6
2017-06-22,Data Craft India,Consulting,7,377,3,16705.69527864351,120.40642261085738,239.81452971867884,6
2017-06-23,Target Operation,Consulting,1,216,4,82255.70289564463,90.42347286896754,188.2744247323724,6
